round,client_id,mec_id,uplink_mbps,latency_ms,packet_loss,handover
10,9,3,0.4208,9.95897,0,0
10,10,3,0.4208,29.9598,0,0
10,11,1,0.4208,10.0313,0,0
10,12,2,0.4208,9.88754,0,0
10,13,3,0.4208,30.0313,0,0
10,14,1,0.4208,30.0313,0,0
10,15,2,0.4208,29.959,0,0
10,16,2,0.4208,29.9598,0,0
10,17,2,0.4208,29.5875,0,0
10,18,3,0.4208,10.0304,0,0
10,19,3,0.4208,9.88754,0,0
11,0,3,0.4208,10.0304,0,0
11,1,3,0.4208,29.8875,0,0
11,2,3,0.4208,29.659,0,0
11,3,2,0.4208,30.0321,0,0
11,4,2,0.4208,30.0313,0,0
11,5,1,0.4208,30.0304,0,0
11,6,2,0.4208,9.9304,0,0
11,7,3,0.4208,10.0304,0,0
11,8,3,0.4208,29.959,0,0
11,9,3,0.4208,9.95897,0,0
11,10,3,0.4208,29.9595,0,0
11,11,1,0.4208,10.0313,0,0
11,12,2,0.4208,9.88754,0,0
11,13,3,0.4208,30.0313,0,0
11,14,1,0.4208,30.0313,0,0
11,15,2,0.4208,29.959,0,0
11,16,2,0.4208,29.9598,0,0
11,17,2,0.4208,29.6733,0,0
11,18,3,0.4208,10.0304,0,0
11,19,3,0.4208,9.88754,0,0
12,0,3,0.4208,10.0304,0,0
12,1,3,0.4208,29.8875,0,0
12,2,3,0.4208,29.6875,0,0
12,3,2,0.4208,30.0321,0,0
12,4,2,0.4208,30.0313,0,0
12,5,1,0.4208,30.0304,0,0
12,6,2,0.4208,9.95897,0,0
12,7,3,0.4208,10.0304,0,0
12,8,3,0.4208,29.959,0,0
12,9,3,0.4208,9.95897,0,0
12,10,3,0.4208,29.9598,0,0
12,11,1,0.4208,10.0313,0,0
12,12,2,0.4208,9.88754,0,0
12,13,3,0.4208,30.0313,0,0
12,14,1,0.4208,30.0313,0,0
12,15,2,0.4208,29.959,0,0
12,16,2,0.4208,29.9598,0,0
12,17,2,0.4208,29.5161,0,0
12,18,3,0.4208,10.0304,0,0
12,19,3,0.4208,9.88754,0,0
13,0,3,0.4208,10.0304,0,0
13,1,3,0.4208,29.8875,0,0
13,2,3,0.4208,29.6733,0,0
13,3,2,0.4208,30.0321,0,0
13,4,2,0.4208,30.0313,0,0
13,5,1,0.4208,30.0304,0,0
13,6,2,0.4208,9.94468,0,0
13,7,3,0.4208,10.0304,0,0
13,8,3,0.4208,29.959,0,0
13,9,3,0.4208,9.95897,0,0
13,10,3,0.4208,29.9597,0,0
13,11,1,0.4208,10.0313,0,0
13,12,2,0.4208,9.88754,0,0
13,13,3,0.4208,30.0313,0,0
13,14,1,0.4208,30.0313,0,0
13,15,2,0.4208,29.959,0,0
13,16,2,0.4208,29.9598,0,0
13,17,2,0.4208,29.6447,0,0
13,18,3,0.4208,10.0304,0,0
13,19,3,0.4208,9.88754,0,0
14,0,3,0.4208,10.0304,0,0
14,1,3,0.4208,29.8875,0,0
14,2,3,0.4208,29.6875,0,0
14,3,2,0.4208,30.0321,0,0
14,4,2,0.4208,30.0313,0,0
14,5,1,0.4208,30.0304,0,0
14,6,2,0.4208,9.95897,0,0
14,7,3,0.4208,10.0304,0,0
14,8,3,0.4208,29.959,0,0
14,9,3,0.4208,9.95897,0,0
14,10,3,0.4208,29.9598,0,0
14,11,1,0.4208,10.0313,0,0
14,12,2,0.4208,9.88754,0,0
14,13,3,0.50496,26.6981,0,0
14,14,1,0.4208,30.0313,0,0
14,15,2,0.4208,29.959,0,0
14,16,2,0.4208,29.9598,0,0
14,17,2,0.4208,29.5304,0,0
14,18,3,0.4208,10.0304,0,0
14,19,3,0.4208,9.88754,0,0
15,0,3,0.4208,10.0304,0,0
15,1,3,0.4208,29.8875,0,0
15,2,3,0.4208,29.6733,0,0
15,3,2,0.4208,30.0321,0,0
15,4,2,0.4208,30.0313,0,0
15,5,1,0.4208,30.0313,0,0
15,6,2,0.4208,9.95897,0,0
15,7,3,0.4208,10.0304,0,0
15,8,3,0.4208,29.959,0,0
15,9,3,0.4208,9.95897,0,0
15,10,3,0.4208,29.9598,0,0
15,11,1,0.4208,10.0313,0,0
15,12,2,0.4208,9.88754,0,0
15,13,3,0.4208,10.0304,0,0
15,14,1,0.4208,30.0313,0,0
15,15,2,0.4208,29.959,0,0
15,16,2,0.4208,29.9598,0,0
15,17,2,0.4208,29.6447,0,0
15,18,3,0.4208,10.0304,0,0
15,19,3,0.4208,9.88754,0,0
16,0,3,0.4208,10.0304,0,0
16,1,3,0.4208,29.8875,0,0
16,2,3,0.4208,29.6875,0,0
16,3,2,0.4208,30.0321,0,0
16,4,2,0.4208,30.0313,0,0
16,5,1,0.4208,30.0313,0,0
16,6,2,0.4208,9.95897,0,0
16,7,3,0.4208,10.0304,0,0
16,8,3,0.4208,29.959,0,0
16,9,3,0.4208,9.95897,0,0
