round,client_id,mec_id,uplink_mbps,latency_ms,packet_loss
24,13,2,1.32131,359.158,0.513096
24,14,2,3.50947,527.17,0.413029
24,15,2,0.740608,177.272,0.556749
24,16,1,11.5299,101.923,0.0591001
24,17,3,2.30598,732.899,0.476158
24,18,2,0.942592,161.179,0.554063
24,19,3,1.15299,494.751,0.525856
25,0,3,2.87827,465.286,0.421935
25,1,2,0.605952,187.369,0.572903
25,2,3,0.521792,635.494,0.584516
25,3,3,9.9393,164.766,0.0929032
25,4,1,10.5032,105.219,0.0322581
25,5,1,3.93869,251.691,0.352258
25,6,2,1.06883,179.701,0.549032
25,7,2,0.88368,174.119,0.569032
25,8,3,0.530208,178.44,0.57871
25,9,2,0.875264,180.454,0.561935
25,10,2,0.976256,175.515,0.562581
25,11,3,5.22634,364.823,0.365161
25,12,2,12.0433,45.8173,0.0083871
25,13,2,1.32131,359.158,0.528387
25,14,2,3.50947,527.17,0.425161
25,15,2,0.740608,177.272,0.570323
